Model Year,Division,Carline,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2020,Acura,NSX,3.5,6,21,22,21
2020,ALFA ROMEO,4C,1.8,4,24,34,28
2020,Aston Martin Lagonda Ltd,Vantage V8,4.0,8,18,24,20
2020,Audi,R8,5.2,10,13,20,16
2020,Audi,R8 Spyder,5.2,10,13,20,16
2020,Audi,TT Roadster quattro,2.0,4,23,31,26
2020,BMW,Z4 M40i,3.0,6,24,31,26
2020,BMW,Z4 sDrive30i,2.0,4,24,32,27
2020,Bugatti,Chiron,8.0,16,9,14,11
2020,Bugatti,Divo,8.0,16,9,13,10
2020,Chevrolet,CORVETTE,6.2,8,15,27,19
2020,FIAT,124 Spider,1.4,4,25,36,29
2020,FIAT,124 Spider,1.4,4,26,35,30
2020,Ford,FORD GT,3.5,6,12,18,14
2020,Jaguar,F-TYPE AWD Convertible,5.0,8,16,24,18
2020,Jaguar,F-TYPE AWD Coupe,5.0,8,16,24,18
2020,Jaguar,F-TYPE Convertible,2.0,4,23,30,26
2020,Jaguar,F-TYPE Convertible,3.0,6,20,28,23
2020,Jaguar,F-TYPE Coupe,2.0,4,23,30,26
2020,Jaguar,F-TYPE Coupe,3.0,6,20,28,23
2020,Jaguar,F-TYPE S AWD Convertible,3.0,6,18,26,21
2020,Jaguar,F-TYPE S AWD Coupe,3.0,6,18,26,21
2020,Jaguar,F-TYPE S Convertible,3.0,6,19,27,22
2020,Jaguar,F-TYPE S Coupe,3.0,6,19,27,22
2020,Jaguar,F-TYPE SVR AWD Convertible,5.0,8,16,24,18
2020,Jaguar,F-TYPE SVR AWD Coupe,5.0,8,16,24,18
2020,Lamborghini,Aventador Coupe,6.5,12,9,15,11
2020,Lamborghini,Aventador Roadster,6.5,12,9,15,11
2020,Lamborghini,Huracan,5.2,10,13,18,15
2020,Lamborghini,Huracan 2WD,5.2,10,13,18,15
2020,Lamborghini,Huracan Spyder,5.2,10,13,18,15
2020,Lamborghini,Huracan Spyder 2WD,5.2,10,13,18,15
2020,MAZDA,MX-5,2.0,4,26,35,30
2020,MAZDA,MX-5,2.0,4,26,34,29
2020,Mercedes-Benz,AMG GT (coupe),4.0,8,16,22,18
2020,Mercedes-Benz,AMG GT (roadster),4.0,8,16,22,18
2020,Mercedes-Benz,AMG GT C (coupe),4.0,8,15,21,17
2020,Mercedes-Benz,AMG GT C (roadster),4.0,8,15,20,17
2020,Mercedes-Benz,AMG GT R (coupe),4.0,8,15,20,17
2020,Mercedes-Benz,AMG GT R (roadster),4.0,8,15,20,17
